section,item,note,2019,2018

Resultaträkning,Nettoomsättning,Not 1,37496193,36385447
Resultaträkning,Drift och underhåll,Not 2,-23110580,-22639077
Resultaträkning,Övriga externa kostnader,Not 3,-647103,-811140
Resultaträkning,Planerat underhåll,,-2148091,-2301462
Resultaträkning,Personalkostnader och arvoden,Not 4,-867610,-1002748
Resultaträkning,Avskrivningar av materiella anläggningstillgångar,,-4397465,-4234600
Resultaträkning,Summa rörelsekostnader,,-31170850,-30989027
Resultaträkning,Rörelseresultat,,6325343,5396420
Resultaträkning,Ränteintäkter och liknande resultatposter,Not 5,14567,7481
Resultaträkning,Räntekostnader och liknande resultatposter,Not 6,-2779567,-2977657
Resultaträkning,Summa finansiella poster,,-2765000,-2970176
Resultaträkning,Årets resultat,,3560343,2426244

Balansräkning Tillgångar,Byggnader och mark,Not 7,192703980,164163381
Balansräkning Tillgångar,Inventarier och maskiner,Not 8,2983093,3158569
Balansräkning Tillgångar,Pågående nyanläggningar,Not 9,22612654,30031143
Balansräkning Tillgångar,Summa materiella anläggningstillgångar,,218299727,197353092
Balansräkning Tillgångar,Andra långfristiga värdepappersinnehav,Not 10,500,500
Balansräkning Tillgångar,Summa anläggningstillgångar,,218300227,197353592
Balansräkning Tillgångar,"Avgifts-, hyres- och andra kundfordringar",,49333,75101
Balansräkning Tillgångar,Avräkningskonto HSB Stockholm,,20038948,29993661
Balansräkning Tillgångar,Placeringskonto HSB Stockholm,,5410,5404
Balansräkning Tillgångar,Övriga fordringar,Not 11,117655,5504
Balansräkning Tillgångar,Förutbetalda kostnader och upplupna intäkter,Not 12,1216207,900933
Balansräkning Tillgångar,Summa kortfristiga fordringar,,21427553,30980603
Balansräkning Tillgångar,Kassa och bank,Not 13,159600,182181
Balansräkning Tillgångar,Summa omsättningstillgångar,,21587153,31162785
Balansräkning Tillgångar,Summa tillgångar,,239887380,228516377

Balansräkning Eget kapital och skulder,Insatser,,6208000,6208000
Balansräkning Eget kapital och skulder,Upplåtelseavgifter,,9935000,9935000
Balansräkning Eget kapital och skulder,Yttre underhållsfond,,7396293,7697755
Balansräkning Eget kapital och skulder,Summa bundet eget kapital,,23539293,23840755
Balansräkning Eget kapital och skulder,Balanserat resultat,,42801870,40074164
Balansräkning Eget kapital och skulder,Årets resultat,,3560343,2426244
Balansräkning Eget kapital och skulder,Summa fritt eget kapital,,46362213,42500408
Balansräkning Eget kapital och skulder,Summa eget kapital,,69901506,66341163
Balansräkning Eget kapital och skulder,Skulder till kreditinstitut (långfristiga),Not 14,160141924,148244248
Balansräkning Eget kapital och skulder,Skulder till kreditinstitut (kortfristiga),Not 15,3157324,3157324
Balansräkning Eget kapital och skulder,Leverantörsskulder,,1467346,4758444
Balansräkning Eget kapital och skulder,Skatteskulder,,4,96723
Balansräkning Eget kapital och skulder,Fond för inre underhåll,,618255,645119
Balansräkning Eget kapital och skulder,Övriga skulder,Not 16,40047,11830
Balansräkning Eget kapital och skulder,Upplupna kostnader och förutbetalda intäkter,Not 17,4560975,5261526
Balansräkning Eget kapital och skulder,Summa kortfristiga skulder,,9843950,13930966
Balansräkning Eget kapital och skulder,Summa skulder,,169985874,162175214
Balansräkning Eget kapital och skulder,Summa eget kapital och skulder,,239887380,228516377

Kassaflödesanalys,Resultat efter finansiella poster,,3560343,2426244
Kassaflödesanalys,Avskrivningar,,4397465,4234600
Kassaflödesanalys,Kassaflöde från löpande verksamhet före rörelsekapital,,7957808,6660845
Kassaflödesanalys,Ökning/minskning kortfristiga fordringar,,-401657,-114221
Kassaflödesanalys,Ökning/minskning kortfristiga skulder,,-4087016,2233068
Kassaflödesanalys,Kassaflöde från löpande verksamhet,,3469135,8779692
Kassaflödesanalys,Investeringar i fastigheter,,-25344100,-21401166
Kassaflödesanalys,Kassaflöde från investeringsverksamhet,,-25344100,-21401166
Kassaflödesanalys,Ökning/minskning av långfristiga skulder,,11897676,32292676
Kassaflödesanalys,Kassaflöde från finansieringsverksamhet,,11897676,32292676
Kassaflödesanalys,Årets kassaflöde,,-9977289,19671202
Kassaflödesanalys,Likvida medel vid årets början,,30181246,10510044
Kassaflödesanalys,Likvida medel vid årets slut,,20203958,30181246

Not 1 Nettoomsättning,Årsavgifter,,33556753,32973032
Not 1 Nettoomsättning,Årsavgifter el,,3600,1950
Not 1 Nettoomsättning,Hyror,,3663403,3840814
Not 1 Nettoomsättning,Övriga intäkter,,1012241,225033
Not 1 Nettoomsättning,Bruttoomsättning,,38235997,37040829
Not 1 Nettoomsättning,Avgifts- och hyresbortfall,,-732713,-654332
Not 1 Nettoomsättning,Hyresförluster,,-7091,-1050
Not 1 Nettoomsättning,Summa,,37496193,36385447

Not 2 Drift och underhåll,Fastighetsskötsel och lokalvård,,3563636,3614918
Not 2 Drift och underhåll,Reparationer,,3645805,2775965
Not 2 Drift och underhåll,El,,1849099,1812457
Not 2 Drift och underhåll,Uppvärmning,,6357025,6642286
Not 2 Drift och underhåll,Vatten,,2776789,2825260
Not 2 Drift och underhåll,Sophämtning,,1462341,1596218
Not 2 Drift och underhåll,Fastighetsförsäkring,,676509,644961
Not 2 Drift och underhåll,Kabel-TV och bredband,,533558,549778
Not 2 Drift och underhåll,Fastighetsskatt och fastighetsavgift,,1028724,1200244
Not 2 Drift och underhåll,Förvaltningsarvoden,,1076389,856605
Not 2 Drift och underhåll,Övriga driftkostnader,,140707,120385
Not 2 Drift och underhåll,Summa,,23110580,22639077

Not 3 Övriga externa kostnader,Bevakningskostnader,,82658,83823
Not 3 Övriga externa kostnader,Hyror och arrenden,,4484,4484
Not 3 Övriga externa kostnader,Förbrukningsinventarier och varuinköp,,125928,110077
Not 3 Övriga externa kostnader,Administrationskostnader,,190062,293102
Not 3 Övriga externa kostnader,Extern revision,,37500,29688
Not 3 Övriga externa kostnader,Konsultkostnader,,110203,194128
Not 3 Övriga externa kostnader,Medlemsavgifter,,96268,95838
Not 3 Övriga externa kostnader,Summa,,647103,811140

Not 4 Personalkostnader och arvoden,Arvode styrelse,,642688,739200
Not 4 Personalkostnader och arvoden,Revisionsarvode,,8929,10536
Not 4 Personalkostnader och arvoden,Övriga arvoden,,19985,27050
Not 4 Personalkostnader och arvoden,Sociala avgifter,,158028,182830
Not 4 Personalkostnader och arvoden,Övriga personalkostnader,,37980,43133
Not 4 Personalkostnader och arvoden,Summa,,867610,1002748

Not 5 Ränteintäkter,Ränteintäkter avräkningskonto HSB Stockholm,,7664,2977
Not 5 Ränteintäkter,Ränteintäkter HSB placeringskonto,,5,5
Not 5 Ränteintäkter,Övriga ränteintäkter,,6898,4498
Not 5 Ränteintäkter,Summa,,14567,7481

Not 6 Räntekostnader,Räntekostnader långfristiga skulder,,2778320,2978248
Not 6 Räntekostnader,Övriga räntekostnader,,1247,-591
Not 6 Räntekostnader,Summa,,2779567,2977657

Not 7 Byggnader och mark,Anskaffningsvärde byggnader,,260241466,254197813
Not 7 Byggnader och mark,Anskaffningsvärde mark,,1894525,1894525
Not 7 Byggnader och mark,Omklassificering från pågående nyanläggningar,,32762588,6043653
Not 7 Byggnader och mark,Utgående ackumulerade anskaffningsvärden,,294898579,262135991
Not 7 Byggnader och mark,Ingående avskrivningar,,-97972610,-93913486
Not 7 Byggnader och mark,Årets avskrivningar,,-4221989,-4059124
Not 7 Byggnader och mark,Utgående ackumulerade avskrivningar,,-102194599,-97972610
Not 7 Byggnader och mark,Utgående bokfört värde,,192703980,164163381
Not 7 Byggnader och mark,Taxeringsvärde byggnad bostäder,,406000000,344000000
Not 7 Byggnader och mark,Taxeringsvärde byggnad lokaler,,11600000,33000000
Not 7 Byggnader och mark,Taxeringsvärde mark bostäder,,165000000,137000000
Not 7 Byggnader och mark,Taxeringsvärde mark lokaler,,7000000,5200000
Not 7 Byggnader och mark,Summa taxeringsvärde,,589600000,519200000

Not 8 Inventarier och maskiner,Ingående anskaffningsvärde,,4408995,4408995
Not 8 Inventarier och maskiner,Utgående ackumulerade anskaffningsvärden,,4408995,4408995
Not 8 Inventarier och maskiner,Ingående avskrivningar,,-1250426,-1074950
Not 8 Inventarier och maskiner,Årets avskrivningar,,-175476,-175476
Not 8 Inventarier och maskiner,Utgående ackumulerade avskrivningar,,-1425902,-1250426
Not 8 Inventarier och maskiner,Bokfört värde,,2983093,3158569

Not 9 Pågående nyanläggningar,Ingående anskaffningsvärde,,30031143,14673630
Not 9 Pågående nyanläggningar,Årets investeringar,,25344100,15357513
Not 9 Pågående nyanläggningar,Omklassificering till byggnad,,-32762588,0
Not 9 Pågående nyanläggningar,Utgående ackumulerade anskaffningsvärden,,22612654,30031143

Not 10 Andra långfristiga värdepappersinnehav,Ingående anskaffningsvärde,,500,500
Not 10 Andra långfristiga värdepappersinnehav,Utgående ackumulerade anskaffningsvärden,,500,500
Not 10 Andra långfristiga värdepappersinnehav,Andel i HSB Stockholm,,500,500

Not 11 Övriga kortfristiga fordringar,Skattekonto,,4106,4504
Not 11 Övriga kortfristiga fordringar,Skattefordran,,113549,1000
Not 11 Övriga kortfristiga fordringar,Övriga fordringar,,0,0
Not 11 Övriga kortfristiga fordringar,Summa,,117655,5504

Not 12 Förutbetalda kostnader,Förutbetalda kostnader,,1126519,842419
Not 12 Förutbetalda kostnader,Upplupna intäkter,,89688,58514
Not 12 Förutbetalda kostnader,Summa,,1216207,900933

Not 13 Kassa och bank,Nordea plusgiro,,159600,182181
Not 13 Kassa och bank,Summa,,159600,182181

Not 14 Skulder till kreditinstitut,Stadshypotek 0.452% 2020-03-07,,15000000,
Not 14 Skulder till kreditinstitut,Stadshypotek 0.452% 2020-01-30,,5700000,
Not 14 Skulder till kreditinstitut,Stadshypotek 0.862% 2024-12-30,,15000000,
Not 14 Skulder till kreditinstitut,Stadshypotek 0.862% 2024-12-30,,25000000,
Not 14 Skulder till kreditinstitut,Stadshypotek 0.862% 2024-12-30,,5000000,
Not 14 Skulder till kreditinstitut,Stadshypotek 2.709% 2024-12-01,,11105600,
Not 14 Skulder till kreditinstitut,Stadshypotek 2.702% 2024-12-01,,8648800,
Not 14 Skulder till kreditinstitut,Stadshypotek 2.709% 2024-12-01,,8805614,
Not 14 Skulder till kreditinstitut,Stadshypotek 2.639% 2024-12-30,,13322426,
Not 14 Skulder till kreditinstitut,Stadshypotek 2.732% 2025-10-30,,16622722,
Not 14 Skulder till kreditinstitut,Stadshypotek 2.262% 2026-09-30,,5706810,
Not 14 Skulder till kreditinstitut,Stadshypotek 2.269% 2026-09-30,,9420206,
Not 14 Skulder till kreditinstitut,Stadshypotek 2.262% 2026-09-30,,7085311,
Not 14 Skulder till kreditinstitut,Stadshypotek 2.432% 2026-10-30,,3459467,
Not 14 Skulder till kreditinstitut,Stadshypotek 2.262% 2026-09-30,,9170292,
Not 14 Skulder till kreditinstitut,Stadshypotek 2.639% 2026-12-01,,4252000,
Not 14 Skulder till kreditinstitut,Summa,,163299248,
Not 14 Skulder till kreditinstitut,Långfristiga exkl kortfristig,,160141924,
Not 14 Skulder till kreditinstitut,Nästa års amortering,,3157324,

Not 15 Skulder till kreditinstitut kortfristig,Kortfristig del av långfristig skuld,,3157324,3157324

Not 16 Övriga skulder,Depositioner,,24438,0
Not 16 Övriga skulder,Momsskuld,,15609,4712
Not 16 Övriga skulder,Övriga kortfristiga skulder,,0,7118
Not 16 Övriga skulder,Summa,,40047,11830

Not 17 Upplupna kostnader,Upplupna räntekostnader,,207587,218358
Not 17 Upplupna kostnader,Förutbetalda hyror och avgifter,,3047665,2833719
Not 17 Upplupna kostnader,Övriga upplupna kostnader,,1305723,2209449
Not 17 Upplupna kostnader,Summa,,4560975,5261526
