section,item,note,2017,2016

Resultaträkning,Nettoomsättning,Not 1,36540349,36104947
Resultaträkning,Drift och underhåll,Not 2,-21900501,-19751494
Resultaträkning,Övriga externa kostnader,Not 3,-493682,-738892
Resultaträkning,Planerat underhåll,,-4662487,-3025808
Resultaträkning,Personalkostnader och arvoden,Not 4,-916656,-1071588
Resultaträkning,Avskrivningar av materiella anläggningstillgångar,,-3593826,-3915037
Resultaträkning,Summa rörelsekostnader,,-31567152,-28502819
Resultaträkning,Rörelseresultat,,4973197,7602127
Resultaträkning,Ränteintäkter och liknande resultatposter,Not 5,-14467,94599
Resultaträkning,Räntekostnader och liknande resultatposter,Not 6,-3171990,-3548025
Resultaträkning,Summa finansiella poster,,-3186457,-3453426
Resultaträkning,Årets resultat,,1786741,4148701

Balansräkning Tillgångar,Byggnader och mark,Not 7,162178852,146769831
Balansräkning Tillgångar,Inventarier och maskiner,Not 8,3334045,0
Balansräkning Tillgångar,Pågående nyanläggningar,Not 9,14673630,34278846
Balansräkning Tillgångar,Summa materiella anläggningstillgångar,,180186527,181048677
Balansräkning Tillgångar,Andra långfristiga värdepappersinnehav,Not 10,500,500
Balansräkning Tillgångar,Summa anläggningstillgångar,,180187027,181049177
Balansräkning Tillgångar,"Avgifts-, hyres- och andra kundfordringar",,14651,13743
Balansräkning Tillgångar,Avräkningskonto HSB Stockholm,,10234348,5349240
Balansräkning Tillgångar,Placeringskonto HSB Stockholm,,5399,5393
Balansräkning Tillgångar,Övriga fordringar,Not 11,4851,19671
Balansräkning Tillgångar,Förutbetalda kostnader och upplupna intäkter,Not 12,847815,805421
Balansräkning Tillgångar,Summa kortfristiga fordringar,,11107064,6193468
Balansräkning Tillgångar,Kortfristiga placeringar,Not 13,0,4000000
Balansräkning Tillgångar,Kassa och bank,Not 14,270297,678504
Balansräkning Tillgångar,Summa omsättningstillgångar,,11377361,10871972
Balansräkning Tillgångar,Summa tillgångar,,191564388,191921149

Balansräkning Eget kapital och skulder,Insatser,,6208000,6208000
Balansräkning Eget kapital och skulder,Upplåtelseavgifter,,9935000,9935000
Balansräkning Eget kapital och skulder,Yttre underhållsfond,,10586642,8612450
Balansräkning Eget kapital och skulder,Summa bundet eget kapital,,26729642,24755450
Balansräkning Eget kapital och skulder,Balanserat resultat,,35398536,33224027
Balansräkning Eget kapital och skulder,Årets resultat,,1786741,4148701
Balansräkning Eget kapital och skulder,Summa fritt eget kapital,,37185277,37372728
Balansräkning Eget kapital och skulder,Summa eget kapital,,63914918,62128178
Balansräkning Eget kapital och skulder,Skulder till kreditinstitut (långfristiga),Not 16,115951572,119108896
Balansräkning Eget kapital och skulder,Skulder till kreditinstitut (kortfristiga),Not 17,3157324,3157324
Balansräkning Eget kapital och skulder,Leverantörsskulder,,3447249,2547607
Balansräkning Eget kapital och skulder,Skatteskulder,,13938,0
Balansräkning Eget kapital och skulder,Fond för inre underhåll,,655133,672448
Balansräkning Eget kapital och skulder,Övriga skulder,Not 18,34321,8544
Balansräkning Eget kapital och skulder,Upplupna kostnader och förutbetalda intäkter,Not 19,4389933,4298152
Balansräkning Eget kapital och skulder,Summa kortfristiga skulder,,11697898,10684075
Balansräkning Eget kapital och skulder,Summa skulder,,127649470,129792971
Balansräkning Eget kapital och skulder,Summa eget kapital och skulder,,191564388,191921149

Kassaflödesanalys,Resultat efter finansiella poster,,1786741,4148701
Kassaflödesanalys,Avskrivningar,,3593826,3915037
Kassaflödesanalys,Kassaflöde från löpande verksamhet före rörelsekapital,,5380567,8063738
Kassaflödesanalys,Ökning/minskning kortfristiga fordringar,,-28482,-181952
Kassaflödesanalys,Ökning/minskning kortfristiga skulder,,1013823,-3109700
Kassaflödesanalys,Kassaflöde från löpande verksamhet,,6365908,4772086
Kassaflödesanalys,Investeringar i fastigheter,,777845,-7322565
Kassaflödesanalys,Investeringar i maskiner/inventarier,,-3509521,0
Kassaflödesanalys,Investeringar/försäljningar av finansiella anläggningstillgångar,,0,200
Kassaflödesanalys,Kassaflöde från investeringsverksamhet,,-2731676,-7322365
Kassaflödesanalys,Ökning/minskning av långfristiga skulder,,-3157324,-3157324
Kassaflödesanalys,Kassaflöde från finansieringsverksamhet,,-3157324,-3157324
Kassaflödesanalys,Årets kassaflöde,,476908,-5707603
Kassaflödesanalys,Likvida medel vid årets början,,10033137,15740739
Kassaflödesanalys,Likvida medel vid årets slut,,10510044,10033137

Not 1 Nettoomsättning,Årsavgifter,,32973032,32973032
Not 1 Nettoomsättning,Årsavgifter el,,1800,1800
Not 1 Nettoomsättning,Hyror,,3717509,3335323
Not 1 Nettoomsättning,Övriga intäkter,,239402,264882
Not 1 Nettoomsättning,Bruttoomsättning,,36931743,36575037
Not 1 Nettoomsättning,Avgifts- och hyresbortfall,,-390644,-469439
Not 1 Nettoomsättning,Hyresförluster,,-750,-651
Not 1 Nettoomsättning,Summa,,36540349,36104947

Not 2 Drift och underhåll,Fastighetsskötsel och lokalvård,,3674599,3559516
Not 2 Drift och underhåll,Reparationer,,2886400,1264056
Not 2 Drift och underhåll,El,,1471344,1909802
Not 2 Drift och underhåll,Uppvärmning,,6542868,5981517
Not 2 Drift och underhåll,Vatten,,2275635,2102353
Not 2 Drift och underhåll,Sophämtning,,1806321,1746109
Not 2 Drift och underhåll,Fastighetsförsäkring,,596821,585118
Not 2 Drift och underhåll,Kabel-TV och bredband,,523728,533509
Not 2 Drift och underhåll,Fastighetsskatt och fastighetsavgift,,1186780,1158017
Not 2 Drift och underhåll,Förvaltningsarvoden,,794502,771304
Not 2 Drift och underhåll,Övriga driftkostnader,,141503,140193
Not 2 Drift och underhåll,Summa,,21900501,19751494

Not 3 Övriga externa kostnader,Bevakningskostnader,,82072,125958
Not 3 Övriga externa kostnader,Förbrukningsinventarier och varuinköp,,55917,56011
Not 3 Övriga externa kostnader,Administrationskostnader,,209687,433732
Not 3 Övriga externa kostnader,Extern revision,,28963,31200
Not 3 Övriga externa kostnader,Konsultkostnader,,22063,6400
Not 3 Övriga externa kostnader,Medlemsavgifter,,94980,85591
Not 3 Övriga externa kostnader,Summa,,493682,738892

Not 4 Personalkostnader och arvoden,Arvode styrelse,,675573,794100
Not 4 Personalkostnader och arvoden,Revisionsarvode,,8540,11835
Not 4 Personalkostnader och arvoden,Övriga arvoden,,22149,16164
Not 4 Personalkostnader och arvoden,Sociala avgifter,,165945,199093
Not 4 Personalkostnader och arvoden,Övriga personalkostnader,,44449,50396
Not 4 Personalkostnader och arvoden,Summa,,916656,1071588

Not 5 Ränteintäkter,Ränteintäkter avräkningskonto HSB Stockholm,,2471,1547
Not 5 Ränteintäkter,Ränteintäkter HSB placeringskonto,,5,2604
Not 5 Ränteintäkter,Ränteintäkter skattekonto,,6,0
Not 5 Ränteintäkter,Ränteintäkter HSB bunden placering,,-27155,33125
Not 5 Ränteintäkter,Övriga ränteintäkter,,10206,57318
Not 5 Ränteintäkter,Summa,,-14467,94599

Not 6 Räntekostnader,Räntekostnader långfristiga skulder,,3171654,3517818
Not 6 Räntekostnader,Övriga räntekostnader,,336,30207
Not 6 Räntekostnader,Summa,,3171990,3548025

Not 7 Byggnader och mark,Anskaffningsvärde byggnader,,235370442,235370442
Not 7 Byggnader och mark,Anskaffningsvärde mark,,1894525,1894525
Not 7 Byggnader och mark,Årets investeringar,,18827371,0
Not 7 Byggnader och mark,Utgående ackumulerade anskaffningsvärden,,256092338,237264967
Not 7 Byggnader och mark,Ingående avskrivningar,,-90495136,-86580099
Not 7 Byggnader och mark,Årets avskrivningar,,-3418350,-3915037
Not 7 Byggnader och mark,Utgående ackumulerade avskrivningar,,-93913486,-90495136
Not 7 Byggnader och mark,Utgående bokfört värde,,162178852,146769831
Not 7 Byggnader och mark,Taxeringsvärde byggnad bostäder,,344000000,344000000
Not 7 Byggnader och mark,Taxeringsvärde byggnad lokaler,,33000000,33000000
Not 7 Byggnader och mark,Taxeringsvärde mark bostäder,,137000000,137000000
Not 7 Byggnader och mark,Taxeringsvärde mark lokaler,,5200000,5200000
Not 7 Byggnader och mark,Summa taxeringsvärde,,519200000,519200000

Not 8 Inventarier och maskiner,Ingående anskaffningsvärde,,899474,899474
Not 8 Inventarier och maskiner,Årets investeringar (installation av postboxar),,3509521,0
Not 8 Inventarier och maskiner,Utgående ackumulerade anskaffningsvärden,,4408995,899474
Not 8 Inventarier och maskiner,Ingående avskrivningar,,-899474,-899474
Not 8 Inventarier och maskiner,Årets avskrivningar,,-175476,0
Not 8 Inventarier och maskiner,Utgående ackumulerade avskrivningar,,-1074950,-899474
Not 8 Inventarier och maskiner,Bokfört värde,,3334045,0

Not 9 Pågående nyanläggningar,Ingående anskaffningsvärde,,34278846,26956281
Not 9 Pågående nyanläggningar,Årets investeringar,,-19605216,7322565
Not 9 Pågående nyanläggningar,Utgående ackumulerade anskaffningsvärden,,14673630,34278846

Not 10 Aktier andelar och värdepapper,Andel i HSB Stockholm,,500,700
Not 10 Aktier andelar och värdepapper,Fonus (utträde 2016),,0,-200
Not 10 Aktier andelar och värdepapper,Summa,,500,500

Not 11 Övriga kortfristiga fordringar,Skattekonto,,4851,4845
Not 11 Övriga kortfristiga fordringar,Skattefordran,,0,14826
Not 11 Övriga kortfristiga fordringar,Summa,,4851,19671

Not 12 Förutbetalda kostnader,Förutbetalda kostnader,,804802,741083
Not 12 Förutbetalda kostnader,Upplupna intäkter,,43013,64338
Not 12 Förutbetalda kostnader,Summa,,847815,805421

Not 13 Kortfristiga placeringar,Bunden placering 12 månader HSB Stockholm,,0,4000000

Not 14 Kassa och bank,Handelsbanken,,0,291236
Not 14 Kassa och bank,Nordea,,0,33443
Not 14 Kassa och bank,Nordea plusgiro,,191927,237354
Not 14 Kassa och bank,Swedbank,,0,100000
Not 14 Kassa och bank,PayPal-konto,,78370,16470
Not 14 Kassa och bank,Summa,,270297,678504

Not 15 Förändring av eget kapital,Belopp vid årets ingång insatser,,6208000,
Not 15 Förändring av eget kapital,Belopp vid årets ingång upplåtelseavgifter,,9935000,
Not 15 Förändring av eget kapital,Belopp vid årets ingång yttre uh fond,,8612450,
Not 15 Förändring av eget kapital,Resultatdisposition till fond,,1974192,
Not 15 Förändring av eget kapital,Ianspråktagande av fond (Planerat underhåll),,-2174509,
Not 15 Förändring av eget kapital,Belopp vid årets slut yttre uh fond,,10586642,
Not 15 Förändring av eget kapital,Balanserat resultat,,35398536,
Not 15 Förändring av eget kapital,Årets resultat,,1786741,

Not 16 Skulder till kreditinstitut,Stadshypotek 3.139% 2018-04-30,,15500000,
Not 16 Skulder till kreditinstitut,Stadshypotek 2.709% 2024-12-01,,11985600,
Not 16 Skulder till kreditinstitut,Stadshypotek 2.709% 2024-12-01,,9328800,
Not 16 Skulder till kreditinstitut,Stadshypotek 2.709% 2024-12-01,,9485614,
Not 16 Skulder till kreditinstitut,Stadshypotek 2.639% 2024-12-30,,13707426,
Not 16 Skulder till kreditinstitut,Stadshypotek 2.739% 2025-10-30,,18961434,
Not 16 Skulder till kreditinstitut,Stadshypotek 2.269% 2026-09-30,,5831210,
Not 16 Skulder till kreditinstitut,Stadshypotek 2.262% 2026-09-30,,9625550,
Not 16 Skulder till kreditinstitut,Stadshypotek 2.269% 2026-09-30,,7239759,
Not 16 Skulder till kreditinstitut,Stadshypotek 2.439% 2026-10-30,,3621315,
Not 16 Skulder till kreditinstitut,Stadshypotek 2.269% 2026-09-30,,9370188,
Not 16 Skulder till kreditinstitut,Stadshypotek 2.639% 2026-12-01,,4452000,
Not 16 Skulder till kreditinstitut,Summa,,119108896,
Not 16 Skulder till kreditinstitut,Långfristiga exkl kortfristig,,115951572,
Not 16 Skulder till kreditinstitut,Nästa års amortering,,3157324,

Not 17 Skulder till kreditinstitut kortfristig,Kortfristig del av långfristig skuld,,3157324,3157324

Not 18 Övriga skulder,Momsskuld,,14173,8024
Not 18 Övriga skulder,Övriga kortfristiga skulder,,20148,520
Not 18 Övriga skulder,Summa,,34321,8544

Not 19 Upplupna kostnader,Upplupna räntekostnader,,135082,140933
Not 19 Upplupna kostnader,Förutbetalda hyror och avgifter,,2867397,2966886
Not 19 Upplupna kostnader,Övriga upplupna kostnader,,1387454,1190333
Not 19 Upplupna kostnader,Summa,,4389933,4298152
